"FUELLIST","Please don't change this row, otherwise this file may not be valid anymore!"
"","DO NOT CHANGE the FuelID field!"
"FuelID","Fuel Name"
"1","DefaultFuel"
"90","Coal_Alberta"
"91","Coal_AZ"
"93","Coal_ID"
"95","Coal_MT"
"96","Coal_UT"
"98","Coal_NM"
"99","Coal_CO_East"
"100","Coal_CA_South"
"101","Coal_CO_West"
"102","Geothermal"
"104","Oil_DistillateFuel_L"
"105","Petroleum Coke"
"106","Uranium"
"107","Purchased_Steam"
"108","Waste_Heat"
"109","Synthetic Gas"
"111","Coal_WY_SW"
"112","Bio_Agri_Res"
"113","Bio_Blk_Liquor"
"114","Bio_Landfill_Gas"
"115","Bio_Other"
"116","Bio_Sludge_Waste"
"117","Bio_Solid_Waste"
"118","Bio_Wood"
"119","Propane"
"120","Oil_DistillateFuel_2"
"121","Refuse"
"123","Coal_Craig"
"124","Coal_Battle_River"
"125","Coal_Jim_Bridger"
"126","Coal_Cholla"
"127","Coal_Valmy"
"128","Coal_Four_Corners"
"129","Coal_Escalante"
"130","Coal_Naughton"
"131","Coal_Intermountain"
"132","Coal_Apache"
"133","Coal_Hayden"
"134","Coal_Sunnyside"
"135","Coal_Reid_Gardner"
"136","Coal_Centennial_Hard"
"137","Coal_Colstrip"
"138","Coal_Springerville"
"139","Coal_Martin_Drake"
"140","Coal_Wyodak"
"141","Coal_Centralia"
"142","Coal_Coronado"
"143","Coal_Comache"
"144","Coal_Bonanza"
"145","Coal_Hunter"
"146","Coal_Huntington"
"147","Coal_Pawnee"
"148","Coal_Rawhide"
"149","Coal_Nixon"
"150","Coal_Dave_Johnston"
"151","Coal_Dry_Fork"
"152","Coal_Laramie_River"
"153","Coal_Neil_Simpson"
"154","Coal_Wygen"
"155","Coal_San_Juan"
"156","Coal_Springervile1-2"
"157","Coal_Springervile3-4"
"158","Coal_Boardman"
"159","NG_Alberta_NOVA"
"160","NG_AZ_North"
"161","NG_New Mexico_North"
"162","NG_AZ/Cal_Blythe"
"163","NG_Cal_PG&E BB"
"164","NG_Cal_SDG&E"
"165","NG_Colorado_Cheyenne"
"166","NG_BC_Sumas"
"167","NG_Montana"
"168","NG_Washington_King"
"169","NG_Oregon_Malin"
"170","NG_Idaho_Opal"
"171","NG_Wyoming"
"172","NG_Washington_Sumas"
"173","NG_Nevada_North"
"174","NG_Nevada_South"
"175","NG_Cal_Kern"
"176","NG_West Texas_Waha"
"177","NG_Utah_Opal Kern"
"178","NG_New Mexico_South"
"179","NG_Cal_SoCalGas"
"180","NG_Cal_PG&E LT"
"181","NG_Cal_Rosarito"
"182","NG_AZ_North-South"
"183","NG_Oregon_Sumas"
"184","NG_BC_Westcoast"
"185","NG_AZ_Opal Kern"
"186","NG_Colorado_WhiteR"
"187","NG_Oregon_OR and WA"
"188","NG_Oregon_Washington"
"189","NG_Washington_Oregon"
